GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,RCPSZFF.id,RCPSZFF.display-label,YEAR.id,FIRM,ESTAB,RCPTOT,PAYANN,PAYQTR1,EMP
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,"Sales, receipts, or revenue size of firms operated the entire year code","Meaning of Sales, receipts, or revenue size of firms operated the entire year code",Year,Number of firms,Number of establishments,"Revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12
0100000US,,United States,22,Utilities,001,All firms,2012,5815,17595,531890695,58922951,17463405,651234
0100000US,,United States,22,Utilities,004,Firms operated for the entire year,2012,5421,17197,530901859,58809349,17430022,649478
0100000US,,United States,22,Utilities,514,"Firms operated entire year with sales/receipts/revenue less than $100,000",2012,828,829,42298,315629,87800,4218
0100000US,,United States,22,Utilities,523,"Firms operated entire year with sales/receipts/revenue of $100,000 to $249,999",2012,811,811,136503,36605,8787,2021
0100000US,,United States,22,Utilities,525,"Firms operated entire year with sales/receipts/revenue of $250,000 to $499,999",2012,732,734,262913,66212,16029,2492
0100000US,,United States,22,Utilities,531,"Firms operated entire year with sales/receipts/revenue of $500,000 to $999,999",2012,670,678,471564,120271,29246,3447
0100000US,,United States,22,Utilities,533,"Firms operated entire year with sales/receipts/revenue of $1,000,000 to $2,499,999",2012,628,676,983068,221739,53226,4973
0100000US,,United States,22,Utilities,541,"Firms operated entire year with sales/receipts/revenue of $2,500,000 to $4,999,999",2012,280,313,986874,228122,56588,4188
0100000US,,United States,22,Utilities,542,"Firms operated entire year with sales/receipts/revenue of $5,000,000 to $9,999,999",2012,258,329,1886257,332029,81972,5560
0100000US,,United States,22,Utilities,551,"Firms operated entire year with sales/receipts/revenue of $10,000,000 to $24,999,999",2012,370,565,6108484,911482,228714,13897
0100000US,,United States,22,Utilities,553,"Firms operated entire year with sales/receipts/revenue of $25,000,000 to $49,999,999",2012,298,595,10595290,1224225,302077,18247
0100000US,,United States,22,Utilities,561,"Firms operated entire year with sales/receipts/revenue of $50,000,000 to $99,999,999",2012,205,554,14013391,1330937,337747,18882
0100000US,,United States,22,Utilities,563,"Firms operated entire year with sales/receipts/revenue of $100,000,000 to $249,999,999",2012,153,855,24072664,2001537,520061,27676
0100000US,,United States,22,Utilities,572,"Firms operated entire year with sales/receipts/revenue of $250,000,000 to $499,999,999",2012,56,566,19938304,2117857,603925,24895
0100000US,,United States,22,Utilities,581,"Firms operated entire year with sales/receipts/revenue of $500,000,000 or more",2012,132,9692,451404249,49902704,15103850,518982
0100000US,,United States,22,Utilities,999,Firms not operated for the entire year,2012,394,398,988836,113602,33383,1756
0100000US,,United States,221,Utilities,001,All firms,2012,5815,17595,531890695,58922951,17463405,651234
0100000US,,United States,221,Utilities,004,Firms operated for the entire year,2012,5421,17197,530901859,58809349,17430022,649478
0100000US,,United States,221,Utilities,514,"Firms operated entire year with sales/receipts/revenue less than $100,000",2012,828,829,42298,315629,87800,4218
0100000US,,United States,221,Utilities,523,"Firms operated entire year with sales/receipts/revenue of $100,000 to $249,999",2012,811,811,136503,36605,8787,2021
0100000US,,United States,221,Utilities,525,"Firms operated entire year with sales/receipts/revenue of $250,000 to $499,999",2012,732,734,262913,66212,16029,2492
0100000US,,United States,221,Utilities,531,"Firms operated entire year with sales/receipts/revenue of $500,000 to $999,999",2012,670,678,471564,120271,29246,3447
0100000US,,United States,221,Utilities,533,"Firms operated entire year with sales/receipts/revenue of $1,000,000 to $2,499,999",2012,628,676,983068,221739,53226,4973
0100000US,,United States,221,Utilities,541,"Firms operated entire year with sales/receipts/revenue of $2,500,000 to $4,999,999",2012,280,313,986874,228122,56588,4188
0100000US,,United States,221,Utilities,542,"Firms operated entire year with sales/receipts/revenue of $5,000,000 to $9,999,999",2012,258,329,1886257,332029,81972,5560
0100000US,,United States,221,Utilities,551,"Firms operated entire year with sales/receipts/revenue of $10,000,000 to $24,999,999",2012,370,565,6108484,911482,228714,13897
0100000US,,United States,221,Utilities,553,"Firms operated entire year with sales/receipts/revenue of $25,000,000 to $49,999,999",2012,298,595,10595290,1224225,302077,18247
0100000US,,United States,221,Utilities,561,"Firms operated entire year with sales/receipts/revenue of $50,000,000 to $99,999,999",2012,205,554,14013391,1330937,337747,18882
0100000US,,United States,221,Utilities,563,"Firms operated entire year with sales/receipts/revenue of $100,000,000 to $249,999,999",2012,153,855,24072664,2001537,520061,27676
0100000US,,United States,221,Utilities,572,"Firms operated entire year with sales/receipts/revenue of $250,000,000 to $499,999,999",2012,56,566,19938304,2117857,603925,24895
0100000US,,United States,221,Utilities,581,"Firms operated entire year with sales/receipts/revenue of $500,000,000 or more",2012,132,9692,451404249,49902704,15103850,518982
0100000US,,United States,221,Utilities,999,Firms not operated for the entire year,2012,394,398,988836,113602,33383,1756
0100000US,,United States,2211,"Electric power generation, transmission and distribution",001,All firms,2012,1763,10330,430079295,49936923,14965072,522010
0100000US,,United States,2211,"Electric power generation, transmission and distribution",004,Firms operated for the entire year,2012,1635,10201,429334873,49845605,14938388,520828
0100000US,,United States,2211,"Electric power generation, transmission and distribution",514,"Firms operated entire year with sales/receipts/revenue less than $100,000",2012,79,80,2629,288842,81062,2773
0100000US,,United States,2211,"Electric power generation, transmission and distribution",523,"Firms operated entire year with sales/receipts/revenue of $100,000 to $249,999",2012,54,54,8997,3712,936,96
0100000US,,United States,2211,"Electric power generation, transmission and distribution",525,"Firms operated entire year with sales/receipts/revenue of $250,000 to $499,999",2012,64,65,23874,7012,1741,152
0100000US,,United States,2211,"Electric power generation, transmission and distribution",531,"Firms operated entire year with sales/receipts/revenue of $500,000 to $999,999",2012,63,68,46318,13238,3298,244
0100000US,,United States,2211,"Electric power generation, transmission and distribution",533,"Firms operated entire year with sales/receipts/revenue of $1,000,000 to $2,499,999",2012,125,151,201532,45106,10800,701
0100000US,,United States,2211,"Electric power generation, transmission and distribution",541,"Firms operated entire year with sales/receipts/revenue of $2,500,000 to $4,999,999",2012,82,95,288985,80475,20383,1159
0100000US,,United States,2211,"Electric power generation, transmission and distribution",542,"Firms operated entire year with sales/receipts/revenue of $5,000,000 to $9,999,999",2012,148,174,1104326,191887,47321,2785
0100000US,,United States,2211,"Electric power generation, transmission and distribution",551,"Firms operated entire year with sales/receipts/revenue of $10,000,000 to $24,999,999",2012,302,431,5049182,721326,181594,10529
0100000US,,United States,2211,"Electric power generation, transmission and distribution",553,"Firms operated entire year with sales/receipts/revenue of $25,000,000 to $49,999,999",2012,264,480,9461518,1015109,253108,15045
0100000US,,United States,2211,"Electric power generation, transmission and distribution",561,"Firms operated entire year with sales/receipts/revenue of $50,000,000 to $99,999,999",2012,182,482,12479567,1148748,289703,16376
0100000US,,United States,2211,"Electric power generation, transmission and distribution",563,"Firms operated entire year with sales/receipts/revenue of $100,000,000 to $249,999,999",2012,130,602,20381522,1703570,449744,22119
0100000US,,United States,2211,"Electric power generation, transmission and distribution",572,"Firms operated entire year with sales/receipts/revenue of $250,000,000 to $499,999,999",2012,43,323,15031745,1540285,433515,17235
0100000US,,United States,2211,"Electric power generation, transmission and distribution",581,"Firms operated entire year with sales/receipts/revenue of $500,000,000 or more",2012,99,7196,365254678,43086295,13165183,431614
